編號,2. 科系所屬學院 ,3. 性別 ,優美度 [華語-台語],優美度 [英語-台語],優美度 [英語-華語],親切度 [華語-台語],親切度 [英語-台語],親切度 [英語-華語],知識性 [華語-台語],知識性 [英語-台語],知識性 [英語-華語],趣味性 [華語-台語],趣味性 [英語-台語],趣味性 [英語-華語],領導能力 [華語-台語],領導能力 [英語-台語],領導能力 [英語-華語],信任度 [華語-台語],信任度 [英語-台語],信任度 [英語-華語],25. 如果您有機會把另一個語言講得和您的「主要溝通語言」一樣好，這個語言會是?,"49.會希望將來的孩子念的是講[1台語, 2英語]幼稚園","21. 相較於期初，對於大學選修以""台語為課堂語言""，我現在的接受度","22. 相較於期初，對於大學選修以""英語為課堂語言""，我現在的接受度",23. 相較於期初，對於希望自己的台語可以講得很流利，這個想法我現在,24. 相較於期初，對於希望自己的英語可以講得很流利，這個想法我現在,25. 相較於期初，對於積極爭取或把握講台語的機會，這個想法我現在,26. 相較於期初，對於積極爭取或把握講英語的機會，這個想法我現在,27. 相較於期初，對於多了解台語相關知識(例如發音句法語用等)，這個想法我現在,28. 相較於期初，對於多了解英語相關知識(例如發音句法語用等)，這個想法我現在,29. 相較於期初，如果我的台語很流利是一件很好的事情，這個想法我現在,30. 相較於期初，如果我的英語很流利是一件很好的事情，這個想法我現在,37.我希望將來有(更多)台語授課的課程,38.我希望將來有更多英語授課的課程
28,I,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,E,2,3,3,3,3,3,3,3,3,3,3,4,2
29,C,1,0,-1,-1,-1,-1,0,1,1,0,-1,-1,0,0,0,0,0,0,0,E,2,4,4,3,3,4,3,5,5,4,3,5,4
30,F,1,0,3,3,0,1,1,1,1,0,2,2,0,1,1,0,0,1,1,T,2,4,5,4,5,4,5,3,5,4,5,3,5
31,C,0,0,0,0,-1,-1,0,2,1,-1,0,0,0,0,0,0,0,-1,-1,E,2,3,3,4,3,4,3,4,4,5,5,4,4
32,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2,4,3,3,4,3,4,3,3,3,4,3,3
33,F,1,0,-1,-1,0,1,1,1,2,1,0,-1,-1,0,-1,-1,0,0,0,C,2,3,5,4,5,4,5,4,3,5,4,3,5
34,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,E,2,4,5,4,5,4,5,3,3,5,3,3,5
35,H,0,1,1,0,-1,-2,-1,0,1,1,-1,-1,0,0,1,1,1,1,0,T,2,4,4,4,4,3,4,5,5,4,4,4,4
36,C,1,1,-1,-2,0,0,0,1,0,-1,-2,-2,0,1,1,0,0,-1,-1,E,1,5,3,4,3,3,3,4,3,5,5,4,4
37,D,1,0,0,0,-1,-1,0,0,0,0,-2,0,2,0,0,0,0,-1,-1,E,2,5,4,3,5,4,4,4,5,5,4,5,4
38,D,0,0,-1,-1,1,0,-1,1,0,-1,1,0,-1,1,1,0,0,0,0,E,2,4,3,4,4,4,4,3,3,4,4,3,3
39,D,1,0,-1,-1,-2,-3,-1,-1,-1,0,-2,-2,0,1,1,0,0,0,0,E,2,3,3,3,3,3,3,3,3,3,3,2,2
